description,label
"Sana humupa na ang baha rito sa Sitio Sampaguita para makauwi na kami.",Flood (Baha)
"Kailangan ng tulong sa Sitio Rosas, pinasok ng baha ang ground floor ng mga bahay.",Flood (Baha)
"Nagawas na ang sapa diri sa Sitio Daisy tungod sa wala untat nga ulan.",Flood (Baha)
"Baha naman liwat sa tapat sang kapilya diri sa Sitio Sampaguita.",Flood (Baha)
"Kadasig magtinaas sang tubi-baha diri sa Sitio Rosas.",Flood (Baha)
"Kinahanglan na namon sang rescue boat sa Sitio Daisy, luyo na ang mga dalan.",Flood (Baha)
"Grabe ang baha diri sa Sitio Sampaguita, abot-tuhod na ang tubi.",Flood (Baha)
"Ginsulod na sang baha ang mga kabalayan sa nubo nga parte sang Sitio Rosas.",Flood (Baha)
"Guba kag sungsong ang mga kanal gani nagbaha diri sa Sitio Daisy.",Flood (Baha)
"Nagapangayo kami sang bulig sa barangay, stranded kami diri sa Sitio Sampaguita tungod sa baha.",Flood (Baha)
"Flash flood diri sa Sitio Rosas, pwerte kadasig sang agos sang tubi.",Flood (Baha)
"Luyo sa tubi ang kalsada sa Sitio Daisy, indi na maagyan sang tricycle ukon motor.",Flood (Baha)
"Nagbaha naman liwat tungod sa mabunok nga ulan diri sa Sitio Sampaguita.",Flood (Baha)
"Kasalukuyan nga naga-evacuate ang mga residente sa Sitio Rosas tungod sa baha.",Flood (Baha)
"Ang baha diri sa Sitio Daisy abot-dughan na, pakisugid palihog sa DRRMO.",Flood (Baha)
"Ngaawas ang drainage system diri sa Sitio Sampaguita, baha na ang bilog nga dalan.",Flood (Baha)
"Naka-red alert na ang Sitio Rosas tungod sa sige-sige nga saka sang tubi-baha.",Flood (Baha)
"Kinahanglan sang madasig nga bulig sang mga kalakalan kag tigulang diri sa Sitio Daisy kay ginsulod sang baha ang balay.",Flood (Baha)
"Daw nangin daku nga suba ang dalan sa Sitio Sampaguita tungod sa grabe nga baha.",Flood (Baha)
"Wala na sang mamala nga lugar diri sa Sitio Rosas tungod sa baha.",Flood (Baha)
"Sira ang mga pananim sa Sitio Daisy kay nalunod sa baha.",Flood (Baha)
"Maghalong kamo nga maagi sa Sitio Sampaguita, madalum ang baha subong.",Flood (Baha)
"Kinahanglan na mag-evacuate sang mga taga Sitio Rosas, lagpas tawo na ang baha.",Flood (Baha)
"Kabalaka sang ulan, sigurado baha naman sa main road sang Sitio Daisy.",Flood (Baha)
"Paki-tsek baha palihog ang Sitio Sampaguita, mabilis kuno naga-saka ang tubi.",Flood (Baha)
"Baha na asta sa hawak diri sa sulod sang Sitio Rosas, nagapangayo kami sang bulig.",Flood (Baha)
"Indi na makaguwa sa balay ang mga tawo sa Sitio Daisy kay luyo sa tubi.",Flood (Baha)
"Tani may mag-libot nga rescue team diri sa Sitio Sampaguita, mataas na gid ang baha.",Flood (Baha)
"Delikado na mag-agi ang mga salakyan sa Sitio Rosas, mataas ang tubi-baha sa kalsada.",Flood (Baha)
"Ngaawas na ang creek malapit sa Sitio Daisy, baha na dayon.",Flood (Baha)
"Tani maghupa na ang baha diri sa Sitio Sampaguita para makapuli na kami.",Flood (Baha)
"Kinahanglan sang bulig sa Sitio Rosas, ginsulod sang baha ang ground floor sang mga balay.",Flood (Baha)
"Bahaon gid ini nga porsyon sang Sitio Daisy basta mamunok ang ulan.",Flood (Baha)
"Nagasaka na naman ang tubi sa sapa malapit sa Sitio Sampaguita.",Flood (Baha)
"Sige-sige ang tinulu sang ulan, baha na subong sa Sitio Rosas.",Flood (Baha)
"Grabe ang baha-baha sa gwa sang balay namon diri sa Sitio Daisy.",Flood (Baha)
"Nalunod na sa tubi-baha ang mga pananom sang mga mangunguma sa Sitio Sampaguita.",Flood (Baha)
"Indi na kami kapuli sa Sitio Rosas kay pwerte katas sang baha sa kalsada.",Flood (Baha)
"Naanod sang baha ang mga kagamitan sang naga-istar dampi sa sapa sang Sitio Daisy.",Flood (Baha)
"Nag-apaw na ang tubi sa drainage sang Sitio Sampaguita, nagasulod na sa ugsaran.",Flood (Baha)
"Grabe gid ang baha subong sa Sitio Rosas, abot na sa dahi sang salakyan.",Flood (Baha)
"Pakisugid sa barangay nga baha na sa Sitio Daisy kag kinahanglan sang evacuation.",Flood (Baha)
"Trap kami diri sa ibabaw sang balay sa Sitio Sampaguita kay pwerte katas sang baha.",Flood (Baha)
"Bahaon gid ang dalan pasulod sa Sitio Rosas, indi kaagi ang mga motor.",Flood (Baha)
"Nagasaka ang tubi-baha diri sa Sitio Daisy, buligi niyo kami palihog.",Flood (Baha)
"Grabe nga baha ang naagyan sang Sitio Sampaguita subong nga adlaw.",Flood (Baha)
"Delikado na magpabilin sa balay diri sa Sitio Rosas, mabilis naga-apaw ang baha.",Flood (Baha)
"Tungod sa baha, pwerte ka daku sang perwisyo diri sa Sitio Daisy.",Flood (Baha)
"Wala untat ang ulan gani nagbaha na naman sa Sitio Sampaguita.",Flood (Baha)
"Abot-gonggongan (shoulder-deep) na ang baha sa nubo nga parte sang Sitio Rosas.",Flood (Baha)
"Nalubog na sa tubi ang bilog nga basketbolan sang Sitio Daisy tungod sa baha.",Flood (Baha)
"Grabe ang baha subong, tani indi na magdugang ang ulan diri sa Sitio Sampaguita.",Flood (Baha)
"The creek near Sitio Daisy is already overflowing due to the continuous rain.",Flood (Baha)
"It is flooding again in front of the chapel here in Sitio Sampaguita.",Flood (Baha)
"The floodwater is rising very quickly here in Sitio Rosas.",Flood (Baha)
"We need a rescue boat in Sitio Daisy immediately, the roads are completely submerged.",Flood (Baha)
"The flood here in Sitio Sampaguita is terrible, the water is already knee-deep.",Flood (Baha)
"Floodwaters have entered the houses in the lower areas of Sitio Rosas.",Flood (Baha)
"The drainage is clogged, causing severe flooding here in Sitio Daisy.",Flood (Baha)
"We are asking for help from the barangay, we are stranded here in Sitio Sampaguita due to the flood.",Flood (Baha)
"Flash flood reported in Sitio Rosas, the water current is very strong.",Flood (Baha)
"The main road in Sitio Daisy is flooded and impassable for tricycles or motorcycles.",Flood (Baha)
"It's flooding again because of the heavy downpour here in Sitio Sampaguita.",Flood (Baha)
"Residents in Sitio Rosas are currently evacuating due to the rising floodwaters.",Flood (Baha)
"The flood here in Sitio Daisy is already chest-deep, please inform the DRRMO.",Flood (Baha)
"The drainage system in Sitio Sampaguita has overflowed, the whole street is flooded.",Flood (Baha)
"Sitio Rosas is now on red alert due to the continuous rise of the flood.",Flood (Baha)
"The elderly here in Sitio Daisy need urgent assistance because the flood entered their home.",Flood (Baha)
"The road in Sitio Sampaguita looks like a massive river due to the severe flooding.",Flood (Baha)
"There are no more dry areas left here in Sitio Rosas because of the flood.",Flood (Baha)
"Crops in Sitio Daisy are totally ruined after being submerged in floodwater.",Flood (Baha)
"Please be careful if you are passing through Sitio Sampaguita, the flood is very deep right now.",Flood (Baha)
"Residents of Sitio Rosas need to evacuate now, the flood is already over head-high.",Flood (Baha)
"The rain is so heavy, it will surely flood again on the main road of Sitio Daisy.",Flood (Baha)
"Please check on Sitio Sampaguita, they said the floodwater is rising rapidly.",Flood (Baha)
"The flood is up to waist-level inside Sitio Rosas, we are begging for help.",Flood (Baha)
"People in Sitio Daisy cannot leave their homes because everything is underwater.",Flood (Baha)
"I hope a rescue team can patrol here in Sitio Sampaguita, the flood is getting too high.",Flood (Baha)
"It is too dangerous for vehicles to pass through Sitio Rosas due to the deep road flood.",Flood (Baha)
"The nearby creek has overflowed into Sitio Daisy, causing instant flooding.",Flood (Baha)
"I hope the flood in Sitio Sampaguita subsides soon so we can finally go home.",Flood (Baha)
"Emergency help needed in Sitio Rosas, the ground floor of the houses are completely flooded.",Flood (Baha)
"Sitio Daisy is highly prone to flooding every time there is a heavy downpour.",Flood (Baha)
"The water level in the creek near Sitio Sampaguita is reaching critical limits.",Flood (Baha)
"Heavy rains have caused instant flash floods across the streets of Sitio Rosas.",Flood (Baha)
"Our backyard here in Sitio Daisy is completely filled with floodwater right now.",Flood (Baha)
"Agricultural lands and crops in Sitio Sampaguita were washed away by the sudden flood.",Flood (Baha)
"We cannot commute back to Sitio Rosas because the highways are completely blocked by the flood.",Flood (Baha)
"The floodwaters swept away some of the residents' belongings near the riverbanks of Sitio Daisy.",Flood (Baha)
"Water is starting to pool heavily in the back alleys of Sitio Sampaguita.",Flood (Baha)
"The flood in Sitio Rosas is so bad it has almost reached the bumper of our car.",Flood (Baha)
"Please alert the barangay officials that Sitio Daisy needs immediate evacuation clearing.",Flood (Baha)
"We are currently trapped on the second floor of our house in Sitio Sampaguita due to high floodwaters.",Flood (Baha)
"The entry point to Sitio Rosas is totally flooded, motorcycles cannot pass through.",Flood (Baha)
"The water is rising fast inside our compound here in Sitio Daisy, please send help.",Flood (Baha)
"Sitio Sampaguita is experiencing the worst flooding it has seen in years.",Flood (Baha)
"It is no longer safe to stay indoors here in Sitio Rosas as the flood keeps rising.",Flood (Baha)
"The severe flooding has caused massive property damage here in Sitio Daisy.",Flood (Baha)
"The non-stop rainfall is causing immediate street-level flooding in Sitio Sampaguita.",Flood (Baha)
"The floodwater in the lower sectors of Sitio Rosas is already shoulder-deep.",Flood (Baha)
"The entire sports complex of Sitio Daisy is now underwater because of the flood.",Flood (Baha)
"We are praying for the rain to stop so the flood in Sitio Sampaguita can recede.",Flood (Baha)



"Nanakawan po ang tindahan dito sa Sitio Daisy kagabi, nawala ang mga paninda.",Theft (Pagnanakaw)
"May nakapasok na magnanakaw sa isang bahay dito sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Ninakaw ang motorsiklo ng kapitbahay namin dito sa Sitio Rosas habang nakapark sa labas.",Theft (Pagnanakaw)
"Kinuha ng hindi kilalang tao ang mga nakasampay na damit dito sa Sitio Daisy.",Theft (Pagnanakaw)
"Ingat po kayo sa Sitio Sampaguita, may nansisilo ng tsinelas at sapatos sa gabi.",Theft (Pagnanakaw)
"Nawawala ang bisikleta ng anak ko, baka may nagnakaw dito sa Sitio Rosas.",Theft (Pagnanakaw)
"Huli sa CCTV ang pagtangay ng cellphone ng isang lalaki dito sa Sitio Daisy.",Theft (Pagnanakaw)
"Pinasok ng magnanakaw ang computer shop sa Sitio Sampaguita at tinangay ang mga kita.",Theft (Pagnanakaw)
"May insidente ng pananalisi o pagnanakaw sa loob ng palengke malapit sa Sitio Rosas.",Theft (Pagnanakaw)
"Ninakawan ang isang residente sa Sitio Daisy habang natutulog ang buong pamilya.",Theft (Pagnanakaw)
"Hinihingi namin ang tulong ng mga tanod sa Sitio Sampaguita dahil may umaakyat sa mga bakod.",Theft (Pagnanakaw)
"Nawala ang mga manok na panabong ng lolo ko sa Sitio Rosas, mukhang ninakaw.",Theft (Pagnanakaw)
"May nagnakaw ng kuntador ng tubig dito sa isang linya sa Sitio Daisy.",Theft (Pagnanakaw)
"Ingat sa mga snatcher diyan sa may sakayan malapit sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Pinagnakawan ang chapel ng Sitio Rosas, kinuha pati ang mga donasyon sa kahon.",Theft (Pagnanakaw)
"May nagtangkang pumasok sa aming bahay sa Sitio Daisy pero mabilis tumakbo nung sumigaw ako.",Theft (Pagnanakaw)
"Ninakaw ang mga wire ng kuryente sa poste rito sa Sitio Sampaguita kaya nawalan kami ng ilaw.",Theft (Pagnanakaw)
"Naiwan ko lang saglit ang bag ko sa upuan dito sa Sitio Rosas, pagbalik ko wala na.",Theft (Pagnanakaw)
"Nireport sa barangay ang isang lalaki na nagnakaw ng helmet sa Sitio Daisy.",Theft (Pagnanakaw)
"Mag-ingat sa mga kahina-hinalang tao na umaaligid sa Sitio Sampaguita, baka nagpapakiramdam para magnakaw.",Theft (Pagnanakaw)
"May nagnakaw ng mga paninda sa sari-sari store dito sa Sitio Rosas kaninang madaling araw.",Theft (Pagnanakaw)
"Nanakawan ang pinsan ko, nawalan siya ng wallet at pera habang naglalakad sa Sitio Daisy.",Theft (Pagnanakaw)
"Habol ng mga residente ang isang magnanakaw dito sa looban ng Sitio Sampaguita.",Theft (Pagnanakaw)
"Ninakaw ang mga mamahaling halaman o plantito collections ng kapitbahay ko sa Sitio Rosas.",Theft (Pagnanakaw)
"Kailangan ng dagdag na ronda ng tanod sa Sitio Daisy dahil madalas ang pagnanakaw ng tanso.",Theft (Pagnanakaw)
"May nambasag ng salamin ng kotse sa Sitio Sampaguita at kinuha ang laptop sa loob.",Theft (Pagnanakaw)
"Nanakawan ng cellphone ang isang estudyante habang naghihintay ng tricycle sa Sitio Rosas.",Theft (Pagnanakaw)
"Pinasok ng mga magnanakaw ang isang bakanteng bahay dito sa Sitio Daisy.",Theft (Pagnanakaw)
"Nawala ang mga tools at gamit sa talyer dito sa Sitio Sampaguita, may nagnakaw sigurado.",Theft (Pagnanakaw)
"Sana mahuli ang nagnakaw ng mga upuan sa tapat ng outpost dito sa Sitio Rosas.",Theft (Pagnanakaw)
"Nasalisi ng dalawang lalaki ang kaha ng tindahan dito sa Sitio Daisy.",Theft (Pagnanakaw)
"May nagnakaw ng bisikleta sa tapat ng karinderya rito sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Hulicam ang isang babae na nagnakaw ng mga grocery sa grocery store sa Sitio Rosas.",Theft (Pagnanakaw)
"Nanakawan ng paninda ang isang tindera sa Sitio Daisy habang may kinakausap na customer.",Theft (Pagnanakaw)
"Ingat po kayo sa mga umaaligid na estranghero sa Sitio Sampaguita, may nakawan na namang nangyari.",Theft (Pagnanakaw)
"Ninakaw ang natatanging baboy ng aking tiyo sa kanyang kulungan dito sa Sitio Rosas.",Theft (Pagnanakaw)
"May pumasok na magnanakaw sa computer shop sa Sitio Daisy at kinuha ang mga mamahaling pyesa.",Theft (Pagnanakaw)
"Nanakaw ang sako ng bigas na bagong bili lang namin dito sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Paki-monitor po ng mga tanod ang madilim na eskinita sa Sitio Rosas dahil may nansisnatch doon.",Theft (Pagnanakaw)
"Ninakaw ang bagong kabit na bumbilya sa tapat ng gate namin sa Sitio Daisy.",Theft (Pagnanakaw)
"Nawalan ng pera ang isang lola sa Sitio Sampaguita matapos pasukin ng magnanakaw ang kanyang kwarto.",Theft (Pagnanakaw)
"May nagnakaw ng mga bakal at semento sa ginagawang bahay sa Sitio Rosas.",Theft (Pagnanakaw)
"Ninakawan ang boarding house ng mga estudyante dito sa Sitio Daisy kaninang hapon.",Theft (Pagnanakaw)
"Na-pickpocket ang tita ko habang sumasakay ng jeep malapit sa Sitio Sampaguita.",Theft (Pagnanakaw)
"May nagnakaw ng baterya ng traysikel na nakapark sa tapat ng bahay sa Sitio Rosas.",Theft (Pagnanakaw)
"Huli sa akto ng mga kapitbahay ang isang menor de edad na nagnanakaw sa Sitio Daisy.",Theft (Pagnanakaw)
"Nanakawan kami ng mga mamahaling sapatos na iniwan lang namin sa labas ng pinto sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Pinasok ng magnanakaw ang bodega ng eskwelahan malapit sa Sitio Rosas.",Theft (Pagnanakaw)
"Ninakaw ang aming aso na nakatali lang sa garahe rito sa Sitio Daisy.",Theft (Pagnanakaw)
"May nagnakaw ng LPG tank sa kusina ng kapitbahay namin sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Ginpangasbuhan ang tindahan diri sa Sitio Daisy kagab-i, nadula ang mga baligya.",Theft (Pagnanakaw)
"May nakasulod nga kawatan sa isa ka balay diri sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Ginkawat ang motorsiklo sang tupad-balay namon sa Sitio Rosas samtang nakapark sa gwa.",Theft (Pagnanakaw)
"Ginkuha sang indi kilala nga tawo ang mga hinaylay nga bayo diri sa Sitio Daisy.",Theft (Pagnanakaw)
"Maghalong kamo sa Sitio Sampaguita, may nagapangsilog sang tsinelas kag sapatos kon gab-i.",Theft (Pagnanakaw)
"Nadula ang bisiklita sang bata ko, basi may nagkawat diri sa Sitio Rosas.",Theft (Pagnanakaw)
"Huli sa CCTV ang pagtangay sang cellphone sang isa ka lalaki diri sa Sitio Daisy.",Theft (Pagnanakaw)
"Ginsulod sang kawatan ang computer shop sa Sitio Sampaguita kag gintuhog ang kita.",Theft (Pagnanakaw)
"May insidente sang pagnanakaw ukon salisi sa sulod sang palengke malapit sa Sitio Rosas.",Theft (Pagnanakaw)
"Ginkawatan ang isa ka residente sa Sitio Daisy samtang nagatuluog ang bilog nga pamilya.",Theft (Pagnanakaw)
"Nagapangayo kami sang bulig sa mga tanod sa Sitio Sampaguita kay may naga-saka sa mga kudal.",Theft (Pagnanakaw)
"Nadula ang mga manok nga pamatang sang lolo ko sa Sitio Rosas, daw ginkawat gid.",Theft (Pagnanakaw)
"May nagkawat sang kuntador sang tubi diri sa isa ka linya sa Sitio Daisy.",Theft (Pagnanakaw)
"Maghalong sa mga snatcher dira sa may sakayan malapit sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Ginkawatan ang kapilya sang Sitio Rosas, ginkuha pati ang mga donasyon sa kahon.",Theft (Pagnanakaw)
"May nagtangka magsulod sa balay namon sa Sitio Daisy pero mabilis nagdalagan sang nagsinggit ako.",Theft (Pagnanakaw)
"Ginkawat ang mga wire sang kuryente sa poste diri sa Sitio Sampaguita gani nadulaan kami sang suga.",Theft (Pagnanakaw)
"Nabilin ko lang kadiot ang bag ko sa pungkoan diri sa Sitio Rosas, pagbalik ko wala na.",Theft (Pagnanakaw)
"Gineksamin ukon ginreport sa barangay ang isa ka lalaki nga nagkawat sang helmet sa Sitio Daisy.",Theft (Pagnanakaw)
"Maghalong sa mga kaduda-duda nga tawo nga naga-pasiar sa Sitio Sampaguita, basi nagapanilag para mangawat.",Theft (Pagnanakaw)
"May nagkawat sang mga baligya sa sari-sari store diri sa Sitio Rosas kaining kaagahon.",Theft (Pagnanakaw)
"Ginkawatan ang hinabla ko, nadulaan sia sang wallet kag kwarta samtang nagalakat sa Sitio Daisy.",Theft (Pagnanakaw)
"Ginalagas sang mga residente ang isa ka kawatan diri sa sulod sang Sitio Sampaguita.",Theft (Pagnanakaw)
"Ginkawat ang mga mamahali nga tanom ukon plantito collections sang tupad-balay ko sa Sitio Rosas.",Theft (Pagnanakaw)
"Kinahanglan sang dugang nga ronda sang tanod sa Sitio Daisy kay masami ang pagnanakaw sang tanso.",Theft (Pagnanakaw)
"May nagbasag sang salamin sang kotse sa Sitio Sampaguita kag ginkuha ang laptop sa sulod.",Theft (Pagnanakaw)
"Ginkawatan sang cellphone ang isa ka estudyante samtang nagahulat sang tricycle sa Sitio Rosas.",Theft (Pagnanakaw)
"Ginsulod sang mga kawatan ang isa ka bintana ukon bakante nga balay diri sa Sitio Daisy.",Theft (Pagnanakaw)
"Nadula ang mga tools kag gamit sa talyer diri sa Sitio Sampaguita, may nagkawat gid.",Theft (Pagnanakaw)
"Tani madakpan ang nagkawat sang mga pungkoan sa tapat sang outpost diri sa Sitio Rosas.",Theft (Pagnanakaw)
"Ginsalisi sang duha ka lalaki ang kaha sang tindahan diri sa Sitio Daisy.",Theft (Pagnanakaw)
"May nagkawat sang bisiklita sa tapat sang karinderya diri sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Hulicam ang isa ka babaye nga nagkawat sang mga grocery sa grocery store sa Sitio Rosas.",Theft (Pagnanakaw)
"Ginkawatan sang baligya ang isa ka tindera sa Sitio Daisy samtang may gina-istorya nga customer.",Theft (Pagnanakaw)
"Maghalong kamo sa mga estranghero nga naga-pasiar sa Sitio Sampaguita, may nakawan naman natabo.",Theft (Pagnanakaw)
"Ginkawat ang nagaisahanon nga baboy sang tiyo ko sa iya kulungan diri sa Sitio Rosas.",Theft (Pagnanakaw)
"May nagsulod nga kawatan sa computer shop sa Sitio Daisy kag ginkuha ang mga pyesa.",Theft (Pagnanakaw)
"Ginkawat ang sako sang bugas nga bag-o lang namon nabakal diri sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Paki-monitor sang mga tanod ang madulom nga eskinita sa Sitio Rosas kay may nagapang-snatch dira.",Theft (Pagnanakaw)
"Ginkawat ang bag-o taod nga bumbilya sa tapat sang gate namon sa Sitio Daisy.",Theft (Pagnanakaw)
"Nadulaan sang kwarta ang isa ka lola sa Sitio Sampaguita sang ginsulod sang kawatan ang iya kwarto.",Theft (Pagnanakaw)
"May nagkawat sang mga bakal kag semento sa ginahimo nga balay sa Sitio Rosas.",Theft (Pagnanakaw)
"Ginkawatan ang boarding house sang mga estudyante diri sa Sitio Daisy kani sang hapon.",Theft (Pagnanakaw)
"Nakuotan sang pitaka ang tita ko samtang nagasakay sa jeep malapit sa Sitio Sampaguita.",Theft (Pagnanakaw)
"May nagkawat sang baterya sang traysikel nga nakapark sa tapat sang balay sa Sitio Rosas.",Theft (Pagnanakaw)
"Nadakpan gid sa akto sang mga tupad-balay ang isa ka menor de edad nga nagapangkawat sa Sitio Daisy.",Theft (Pagnanakaw)
"Ginkawatan kami sang mga mamahali nga sapatos nga ginbilin lang namon sa gwa sang pinto sa Sitio Sampaguita.",Theft (Pagnanakaw)
"Ginsulod sang kawatan ang bodega sang eskwelahan malapit sa Sitio Rosas.",Theft (Pagnanakaw)
"Ginkawat ang aming ido nga nakatali lang sa garahe diri sa Sitio Daisy.",Theft (Pagnanakaw)
"May nagkawat sang tangke sang LPG sa kusina sang tupad-balay namon sa Sitio Sampaguita.",Theft (Pagnanakaw)
"A store here in Sitio Daisy was robbed last night, and some merchandise went missing.",Theft (Pagnanakaw)
"A thief managed to break into a house here in Sitio Sampaguita.",Theft (Pagnanakaw)
"Our neighbor's motorcycle was stolen here in Sitio Rosas while parked outside.",Theft (Pagnanakaw)
"An unidentified person took the clothes hanging on the clothesline here in Sitio Daisy.",Theft (Pagnanakaw)
"Please be careful in Sitio Sampaguita, someone is stealing slippers and shoes at night.",Theft (Pagnanakaw)
"My child's bicycle is missing, it looks like someone stole it here in Sitio Rosas.",Theft (Pagnanakaw)
"A man was caught on CCTV snatching a cellphone here in Sitio Daisy.",Theft (Pagnanakaw)
"A burglar broke into the computer shop in Sitio Sampaguita and took the day's earnings.",Theft (Pagnanakaw)
"There was a shoplifting or theft incident inside the market near Sitio Rosas.",Theft (Pagnanakaw)
"A resident in Sitio Daisy was robbed while the whole family was fast asleep.",Theft (Pagnanakaw)
"We are asking for help from the tanods in Sitio Sampaguita because someone is climbing over fences.",Theft (Pagnanakaw)
"My grandfather's prize roosters went missing in Sitio Rosas, they were definitely stolen.",Theft (Pagnanakaw)
"Someone stole the water meter from one of the main water lines here in Sitio Daisy.",Theft (Pagnanakaw)
"Watch out for snatchers near the terminal close to Sitio Sampaguita.",Theft (Pagnanakaw)
"The chapel in Sitio Rosas was robbed, they even took the cash donations inside the box.",Theft (Pagnanakaw)
"Someone tried to break into our house in Sitio Daisy but ran away quickly when I screamed.",Theft (Pagnanakaw)
"The electrical wires on the street post here in Sitio Sampaguita were stolen, causing a blackout.",Theft (Pagnanakaw)
"I left my bag on the bench here in Sitio Rosas for just a moment, and it was gone when I got back.",Theft (Pagnanakaw)
"A man who stole a motorcycle helmet was reported to the barangay here in Sitio Daisy.",Theft (Pagnanakaw)
